# query|compound|entity
Ayahuasca Anorexia nervosa randomized placebo|Ayahuasca|Anorexia nervosa
Ayahuasca Anorexia nervosa treatment outcome|Ayahuasca|Anorexia nervosa
Ayahuasca Bulimia nervosa clinical trial|Ayahuasca|Bulimia nervosa
Ayahuasca Bulimia nervosa randomized placebo|Ayahuasca|Bulimia nervosa
Ayahuasca Bulimia nervosa treatment outcome|Ayahuasca|Bulimia nervosa
Ayahuasca Binge-eating disorder clinical trial|Ayahuasca|Binge-eating disorder
Ayahuasca Binge-eating disorder randomized placebo|Ayahuasca|Binge-eating disorder
Ayahuasca Binge-eating disorder treatment outcome|Ayahuasca|Binge-eating disorder
Ayahuasca Autism spectrum disorder clinical trial|Ayahuasca|Autism spectrum disorder
Ayahuasca Autism spectrum disorder randomized placebo|Ayahuasca|Autism spectrum disorder
Ayahuasca Autism spectrum disorder treatment outcome|Ayahuasca|Autism spectrum disorder
Ayahuasca Demoralization clinical trial|Ayahuasca|Demoralization
Ayahuasca Demoralization randomized placebo|Ayahuasca|Demoralization
Ayahuasca Demoralization treatment outcome|Ayahuasca|Demoralization
Ayahuasca Suicidal ideation clinical trial|Ayahuasca|Suicidal ideation
Ayahuasca Suicidal ideation randomized placebo|Ayahuasca|Suicidal ideation
Ayahuasca Suicidal ideation treatment outcome|Ayahuasca|Suicidal ideation
Ayahuasca Cluster headache clinical trial|Ayahuasca|Cluster headache
Ayahuasca Cluster headache randomized placebo|Ayahuasca|Cluster headache
Ayahuasca Cluster headache treatment outcome|Ayahuasca|Cluster headache
Ayahuasca Headache disorders clinical trial|Ayahuasca|Headache disorders
Ayahuasca Headache disorders randomized placebo|Ayahuasca|Headache disorders
Ayahuasca Headache disorders treatment outcome|Ayahuasca|Headache disorders
Ayahuasca Migraine clinical trial|Ayahuasca|Migraine
Ayahuasca Migraine randomized placebo|Ayahuasca|Migraine
Ayahuasca Migraine treatment outcome|Ayahuasca|Migraine
Ayahuasca Chronic pain clinical trial|Ayahuasca|Chronic pain
Ayahuasca Chronic pain randomized placebo|Ayahuasca|Chronic pain
Ayahuasca Chronic pain treatment outcome|Ayahuasca|Chronic pain
Ayahuasca Fibromyalgia clinical trial|Ayahuasca|Fibromyalgia
Ayahuasca Fibromyalgia randomized placebo|Ayahuasca|Fibromyalgia
Ayahuasca Fibromyalgia treatment outcome|Ayahuasca|Fibromyalgia
Ibogaine Treatment-resistant depression clinical trial|Ibogaine|Treatment-resistant depression
Ibogaine Treatment-resistant depression randomized placebo|Ibogaine|Treatment-resistant depression
Ibogaine Treatment-resistant depression treatment outcome|Ibogaine|Treatment-resistant depression
Ibogaine Major depressive disorder clinical trial|Ibogaine|Major depressive disorder
Ibogaine Major depressive disorder randomized placebo|Ibogaine|Major depressive disorder
Ibogaine Major depressive disorder treatment outcome|Ibogaine|Major depressive disorder
Ibogaine Bipolar depression clinical trial|Ibogaine|Bipolar depression
Ibogaine Bipolar depression randomized placebo|Ibogaine|Bipolar depression
Ibogaine Bipolar depression treatment outcome|Ibogaine|Bipolar depression
Ibogaine Persistent depressive disorder clinical trial|Ibogaine|Persistent depressive disorder
Ibogaine Persistent depressive disorder randomized placebo|Ibogaine|Persistent depressive disorder
Ibogaine Persistent depressive disorder treatment outcome|Ibogaine|Persistent depressive disorder
Ibogaine Post-traumatic stress disorder clinical trial|Ibogaine|Post-traumatic stress disorder
Ibogaine Post-traumatic stress disorder randomized placebo|Ibogaine|Post-traumatic stress disorder
Ibogaine Post-traumatic stress disorder treatment outcome|Ibogaine|Post-traumatic stress disorder
Ibogaine Complex post-traumatic stress disorder clinical trial|Ibogaine|Complex post-traumatic stress disorder
Ibogaine Complex post-traumatic stress disorder randomized placebo|Ibogaine|Complex post-traumatic stress disorder
Ibogaine Complex post-traumatic stress disorder treatment outcome|Ibogaine|Complex post-traumatic stress disorder
Ibogaine Alcohol use disorder clinical trial|Ibogaine|Alcohol use disorder
Ibogaine Alcohol use disorder randomized placebo|Ibogaine|Alcohol use disorder
Ibogaine Alcohol use disorder treatment outcome|Ibogaine|Alcohol use disorder
Ibogaine Tobacco use disorder clinical trial|Ibogaine|Tobacco use disorder
Ibogaine Tobacco use disorder randomized placebo|Ibogaine|Tobacco use disorder
Ibogaine Tobacco use disorder treatment outcome|Ibogaine|Tobacco use disorder
Ibogaine Nicotine dependence clinical trial|Ibogaine|Nicotine dependence
Ibogaine Nicotine dependence randomized placebo|Ibogaine|Nicotine dependence
Ibogaine Nicotine dependence treatment outcome|Ibogaine|Nicotine dependence
Ibogaine Opioid use disorder clinical trial|Ibogaine|Opioid use disorder
Ibogaine Opioid use disorder randomized placebo|Ibogaine|Opioid use disorder
Ibogaine Opioid use disorder treatment outcome|Ibogaine|Opioid use disorder
Ibogaine Cannabis use disorder clinical trial|Ibogaine|Cannabis use disorder
Ibogaine Cannabis use disorder randomized placebo|Ibogaine|Cannabis use disorder
Ibogaine Cannabis use disorder treatment outcome|Ibogaine|Cannabis use disorder
Ibogaine Cocaine use disorder clinical trial|Ibogaine|Cocaine use disorder
Ibogaine Cocaine use disorder randomized placebo|Ibogaine|Cocaine use disorder
Ibogaine Cocaine use disorder treatment outcome|Ibogaine|Cocaine use disorder
Ibogaine Methamphetamine use disorder clinical trial|Ibogaine|Methamphetamine use disorder
Ibogaine Methamphetamine use disorder randomized placebo|Ibogaine|Methamphetamine use disorder
Ibogaine Methamphetamine use disorder treatment outcome|Ibogaine|Methamphetamine use disorder
Ibogaine Stimulant use disorder clinical trial|Ibogaine|Stimulant use disorder
Ibogaine Stimulant use disorder randomized placebo|Ibogaine|Stimulant use disorder
Ibogaine Stimulant use disorder treatment outcome|Ibogaine|Stimulant use disorder
Ibogaine Substance use disorder clinical trial|Ibogaine|Substance use disorder
Ibogaine Substance use disorder randomized placebo|Ibogaine|Substance use disorder
Ibogaine Substance use disorder treatment outcome|Ibogaine|Substance use disorder
Ibogaine Generalized anxiety disorder clinical trial|Ibogaine|Generalized anxiety disorder
Ibogaine Generalized anxiety disorder randomized placebo|Ibogaine|Generalized anxiety disorder
Ibogaine Generalized anxiety disorder treatment outcome|Ibogaine|Generalized anxiety disorder
Ibogaine Social anxiety disorder clinical trial|Ibogaine|Social anxiety disorder
Ibogaine Social anxiety disorder randomized placebo|Ibogaine|Social anxiety disorder
Ibogaine Social anxiety disorder treatment outcome|Ibogaine|Social anxiety disorder
Ibogaine Distress associated with life-threatening disease clinical trial|Ibogaine|Distress associated with life-threatening disease
Ibogaine Distress associated with life-threatening disease randomized placebo|Ibogaine|Distress associated with life-threatening disease
Ibogaine Distress associated with life-threatening disease treatment outcome|Ibogaine|Distress associated with life-threatening disease
Ibogaine Obsessive-compulsive disorder clinical trial|Ibogaine|Obsessive-compulsive disorder
Ibogaine Obsessive-compulsive disorder randomized placebo|Ibogaine|Obsessive-compulsive disorder
Ibogaine Obsessive-compulsive disorder treatment outcome|Ibogaine|Obsessive-compulsive disorder
Ibogaine Eating disorders clinical trial|Ibogaine|Eating disorders
Ibogaine Eating disorders randomized placebo|Ibogaine|Eating disorders
Ibogaine Eating disorders treatment outcome|Ibogaine|Eating disorders
Ibogaine Anorexia nervosa clinical trial|Ibogaine|Anorexia nervosa
Ibogaine Anorexia nervosa randomized placebo|Ibogaine|Anorexia nervosa
Ibogaine Anorexia nervosa treatment outcome|Ibogaine|Anorexia nervosa
Ibogaine Bulimia nervosa clinical trial|Ibogaine|Bulimia nervosa
Ibogaine Bulimia nervosa randomized placebo|Ibogaine|Bulimia nervosa
Ibogaine Bulimia nervosa treatment outcome|Ibogaine|Bulimia nervosa
Ibogaine Binge-eating disorder clinical trial|Ibogaine|Binge-eating disorder
Ibogaine Binge-eating disorder randomized placebo|Ibogaine|Binge-eating disorder
Ibogaine Binge-eating disorder treatment outcome|Ibogaine|Binge-eating disorder
Ibogaine Autism spectrum disorder clinical trial|Ibogaine|Autism spectrum disorder
Ibogaine Autism spectrum disorder randomized placebo|Ibogaine|Autism spectrum disorder
Ibogaine Autism spectrum disorder treatment outcome|Ibogaine|Autism spectrum disorder
Ibogaine Demoralization clinical trial|Ibogaine|Demoralization
Ibogaine Demoralization randomized placebo|Ibogaine|Demoralization
Ibogaine Demoralization treatment outcome|Ibogaine|Demoralization
Ibogaine Suicidal ideation clinical trial|Ibogaine|Suicidal ideation
Ibogaine Suicidal ideation randomized placebo|Ibogaine|Suicidal ideation
Ibogaine Suicidal ideation treatment outcome|Ibogaine|Suicidal ideation
Ibogaine Cluster headache clinical trial|Ibogaine|Cluster headache
Ibogaine Cluster headache randomized placebo|Ibogaine|Cluster headache
Ibogaine Cluster headache treatment outcome|Ibogaine|Cluster headache
Ibogaine Headache disorders clinical trial|Ibogaine|Headache disorders
Ibogaine Headache disorders randomized placebo|Ibogaine|Headache disorders
Ibogaine Headache disorders treatment outcome|Ibogaine|Headache disorders
Ibogaine Migraine clinical trial|Ibogaine|Migraine
Ibogaine Migraine randomized placebo|Ibogaine|Migraine
Ibogaine Migraine treatment outcome|Ibogaine|Migraine
Ibogaine Chronic pain clinical trial|Ibogaine|Chronic pain
Ibogaine Chronic pain randomized placebo|Ibogaine|Chronic pain
Ibogaine Chronic pain treatment outcome|Ibogaine|Chronic pain
Ibogaine Fibromyalgia clinical trial|Ibogaine|Fibromyalgia
Ibogaine Fibromyalgia randomized placebo|Ibogaine|Fibromyalgia
Ibogaine Fibromyalgia treatment outcome|Ibogaine|Fibromyalgia
Noribogaine Treatment-resistant depression clinical trial|Noribogaine|Treatment-resistant depression
Noribogaine Treatment-resistant depression randomized placebo|Noribogaine|Treatment-resistant depression
Noribogaine Treatment-resistant depression treatment outcome|Noribogaine|Treatment-resistant depression
Noribogaine Major depressive disorder clinical trial|Noribogaine|Major depressive disorder
Noribogaine Major depressive disorder randomized placebo|Noribogaine|Major depressive disorder
Noribogaine Major depressive disorder treatment outcome|Noribogaine|Major depressive disorder
Noribogaine Bipolar depression clinical trial|Noribogaine|Bipolar depression
Noribogaine Bipolar depression randomized placebo|Noribogaine|Bipolar depression
Noribogaine Bipolar depression treatment outcome|Noribogaine|Bipolar depression
Noribogaine Persistent depressive disorder clinical trial|Noribogaine|Persistent depressive disorder
Noribogaine Persistent depressive disorder randomized placebo|Noribogaine|Persistent depressive disorder
Noribogaine Persistent depressive disorder treatment outcome|Noribogaine|Persistent depressive disorder
Noribogaine Post-traumatic stress disorder clinical trial|Noribogaine|Post-traumatic stress disorder
Noribogaine Post-traumatic stress disorder randomized placebo|Noribogaine|Post-traumatic stress disorder
Noribogaine Post-traumatic stress disorder treatment outcome|Noribogaine|Post-traumatic stress disorder
Noribogaine Complex post-traumatic stress disorder clinical trial|Noribogaine|Complex post-traumatic stress disorder
Noribogaine Complex post-traumatic stress disorder randomized placebo|Noribogaine|Complex post-traumatic stress disorder
Noribogaine Complex post-traumatic stress disorder treatment outcome|Noribogaine|Complex post-traumatic stress disorder
Noribogaine Alcohol use disorder clinical trial|Noribogaine|Alcohol use disorder
Noribogaine Alcohol use disorder randomized placebo|Noribogaine|Alcohol use disorder
Noribogaine Alcohol use disorder treatment outcome|Noribogaine|Alcohol use disorder
Noribogaine Tobacco use disorder clinical trial|Noribogaine|Tobacco use disorder
Noribogaine Tobacco use disorder randomized placebo|Noribogaine|Tobacco use disorder
Noribogaine Tobacco use disorder treatment outcome|Noribogaine|Tobacco use disorder
Noribogaine Nicotine dependence clinical trial|Noribogaine|Nicotine dependence
Noribogaine Nicotine dependence randomized placebo|Noribogaine|Nicotine dependence
Noribogaine Nicotine dependence treatment outcome|Noribogaine|Nicotine dependence
Noribogaine Opioid use disorder clinical trial|Noribogaine|Opioid use disorder
Noribogaine Opioid use disorder randomized placebo|Noribogaine|Opioid use disorder
Noribogaine Opioid use disorder treatment outcome|Noribogaine|Opioid use disorder
Noribogaine Cannabis use disorder clinical trial|Noribogaine|Cannabis use disorder
Noribogaine Cannabis use disorder randomized placebo|Noribogaine|Cannabis use disorder
Noribogaine Cannabis use disorder treatment outcome|Noribogaine|Cannabis use disorder
Noribogaine Cocaine use disorder clinical trial|Noribogaine|Cocaine use disorder
Noribogaine Cocaine use disorder randomized placebo|Noribogaine|Cocaine use disorder
Noribogaine Cocaine use disorder treatment outcome|Noribogaine|Cocaine use disorder
Noribogaine Methamphetamine use disorder clinical trial|Noribogaine|Methamphetamine use disorder
Noribogaine Methamphetamine use disorder randomized placebo|Noribogaine|Methamphetamine use disorder
Noribogaine Methamphetamine use disorder treatment outcome|Noribogaine|Methamphetamine use disorder
Noribogaine Stimulant use disorder clinical trial|Noribogaine|Stimulant use disorder
Noribogaine Stimulant use disorder randomized placebo|Noribogaine|Stimulant use disorder
Noribogaine Stimulant use disorder treatment outcome|Noribogaine|Stimulant use disorder
Noribogaine Substance use disorder clinical trial|Noribogaine|Substance use disorder
Noribogaine Substance use disorder randomized placebo|Noribogaine|Substance use disorder
Noribogaine Substance use disorder treatment outcome|Noribogaine|Substance use disorder
Noribogaine Generalized anxiety disorder clinical trial|Noribogaine|Generalized anxiety disorder
Noribogaine Generalized anxiety disorder randomized placebo|Noribogaine|Generalized anxiety disorder
Noribogaine Generalized anxiety disorder treatment outcome|Noribogaine|Generalized anxiety disorder
Noribogaine Social anxiety disorder clinical trial|Noribogaine|Social anxiety disorder
Noribogaine Social anxiety disorder randomized placebo|Noribogaine|Social anxiety disorder
Noribogaine Social anxiety disorder treatment outcome|Noribogaine|Social anxiety disorder
Noribogaine Distress associated with life-threatening disease clinical trial|Noribogaine|Distress associated with life-threatening disease
Noribogaine Distress associated with life-threatening disease randomized placebo|Noribogaine|Distress associated with life-threatening disease
Noribogaine Distress associated with life-threatening disease treatment outcome|Noribogaine|Distress associated with life-threatening disease
Noribogaine Obsessive-compulsive disorder clinical trial|Noribogaine|Obsessive-compulsive disorder
Noribogaine Obsessive-compulsive disorder randomized placebo|Noribogaine|Obsessive-compulsive disorder
Noribogaine Obsessive-compulsive disorder treatment outcome|Noribogaine|Obsessive-compulsive disorder
Noribogaine Eating disorders clinical trial|Noribogaine|Eating disorders
Noribogaine Eating disorders randomized placebo|Noribogaine|Eating disorders
Noribogaine Eating disorders treatment outcome|Noribogaine|Eating disorders
Noribogaine Anorexia nervosa clinical trial|Noribogaine|Anorexia nervosa
Noribogaine Anorexia nervosa randomized placebo|Noribogaine|Anorexia nervosa
Noribogaine Anorexia nervosa treatment outcome|Noribogaine|Anorexia nervosa
Noribogaine Bulimia nervosa clinical trial|Noribogaine|Bulimia nervosa
Noribogaine Bulimia nervosa randomized placebo|Noribogaine|Bulimia nervosa
